timestamp,q_w,q_x,q_y,q_z
1753485322515040,0.9565147,-0.23774557,0.04737075,0.16221216
1753485322528738,0.9565154,-0.23774199,0.047376893,0.16221155
1753485322534985,0.95651597,-0.23773894,0.04737765,0.16221239
1753485322548661,0.95651644,-0.2377394,0.047382135,0.16220759
1753485322554918,0.95651793,-0.2377408,0.047372673,0.16219953
1753485322564928,0.9565164,-0.23775159,0.047365773,0.16219482
1753485322574840,0.95651793,-0.23774873,0.047366135,0.16218938
1753485322584817,0.95651984,-0.23774174,0.047371022,0.16218758
1753485322594830,0.95652217,-0.23772947,0.047384184,0.16218781
1753485322604766,0.9565231,-0.23772597,0.047387127,0.16218613
1753485322613508,0.95652395,-0.23772585,0.04738709,0.16218187
1753485322624728,0.9565254,-0.23772788,0.047383457,0.16217126
1753485322634708,0.9565262,-0.23773424,0.04737864,0.16215868
1753485322644635,0.9565274,-0.23773062,0.04737729,0.16215703
1753485322654653,0.9565293,-0.23772185,0.047379654,0.16215795
1753485322664577,0.9565304,-0.23771352,0.047384318,0.16216244
1753485322674576,0.95653033,-0.23771283,0.047389623,0.16216242
1753485322684532,0.9565311,-0.23771402,0.04739292,0.16215514
1753485322698202,0.95653176,-0.23771834,0.047386874,0.16214648
1753485322704440,0.95653284,-0.2377214,0.047379002,0.16213797
1753485322718108,0.9565343,-0.23772092,0.04736899,0.16213302
1753485322724373,0.9565329,-0.23772156,0.04736833,0.16214065
1753485322738048,0.9565326,-0.23772085,0.0473726,0.16214272
1753485322744303,0.95653254,-0.2377188,0.047380097,0.16214368
1753485322754343,0.95653063,-0.23772693,0.047385775,0.1621412
1753485322764287,0.95653075,-0.2377325,0.04737852,0.16213408
1753485322774201,0.9565318,-0.23773634,0.047365967,0.16212595
1753485322784213,0.95653325,-0.23773499,0.04735745,0.16212189
1753485322794153,0.9565336,-0.23773347,0.047359474,0.16212118
1753485322804133,0.9565332,-0.2377332,0.04736548,0.16212296
1753485322814090,0.95653385,-0.23773146,0.04737631,0.16211823
1753485322824077,0.9565336,-0.2377355,0.04738473,0.16211148
1753485322834035,0.95653427,-0.23773849,0.047386672,0.16210257
1753485322844009,0.9565354,-0.23773976,0.047384594,0.16209419
1753485322853953,0.9565343,-0.23774718,0.04737773,0.16209155
1753485322863937,0.95653504,-0.23774719,0.047374144,0.16208845
1753485322873931,0.9565348,-0.23774944,0.04737215,0.16208749
1753485322883917,0.95653427,-0.23774867,0.047383334,0.16208798
1753485322898801,0.9565348,-0.2377465,0.04740046,0.16208346
1753485322907512,0.95653427,-0.23774686,0.047405493,0.16208452
1753485322918740,0.95653665,-0.23774923,0.04740198,0.16206811
1753485322927447,0.9565362,-0.23775358,0.047399424,0.1620655
1753485322938669,0.95653754,-0.23775382,0.047392793,0.16205853
1753485322948658,0.9565371,-0.23775296,0.047396157,0.16206151
1753485322958607,0.9565382,-0.23774475,0.047402386,0.16206564
1753485322968595,0.95653963,-0.2377405,0.047401294,0.16206357
1753485322978541,0.95653945,-0.23774347,0.0474034,0.1620598
1753485322983571,0.95653945,-0.23774438,0.04740324,0.16205792
1753485322998541,0.9565389,-0.23775132,0.047398545,0.16205288
1753485323012216,0.95653874,-0.23775804,0.047396623,0.16204399
